Accession,Release_Date,Species,Length,Nuc_Completeness
NC_040582,2019-02-12T00:00:00Z,Blackcurrant leafroll-associated virus 1,16996,complete
NC_040583,2019-02-12T00:00:00Z,Boa constrictor papillomavirus 1,7126,complete
NC_040584,2019-02-12T00:00:00Z,Yongsan picorna-like virus 3,11291,complete
NC_040585,2019-02-12T00:00:00Z,Rhizophagus irregularis mitovirus 1,3601,complete
NC_040586,2019-02-12T00:00:00Z,Brassica napus RNA virus 1,12313,complete
NC_040587,2019-02-12T00:00:00Z,Yongsan iflavirus 1,8977,complete
NC_040588,2019-02-12T00:00:00Z,Diatom colony associated dsRNA virus 15,12940,complete
NC_040589,2019-02-12T00:00:00Z,Diatom colony associated ssRNA virus 1,11413,complete
NC_040590,2019-02-12T00:00:00Z,Phalaenopsis equestris amalgavirus 1,3394,complete
NC_040591,2019-02-12T00:00:00Z,Medicago sativa amalgavirus 1,3423,complete
NC_040592,2019-02-12T00:00:00Z,Erigeron breviscapus amalgavirus 1,3433,complete
NC_040593,2019-02-12T00:00:00Z,Erigeron breviscapus amalgavirus 2,3408,complete
NC_040594,2019-02-12T00:00:00Z,Picalivirus A,8966,complete
NC_040595,2019-02-12T00:00:00Z,Odonata-associated circular virus-1,1989,complete
NC_040596,2019-02-12T00:00:00Z,Odonata-associated circular virus-2,1740,complete
NC_040597,2019-02-12T00:00:00Z,Odonata-associated circular virus-3,1639,complete
NC_040598,2019-02-12T00:00:00Z,Sus scrofa polyomavirus 1,5068,complete
NC_040599,2019-02-12T00:00:00Z,Merida virus,11798,complete
NC_040600,2019-02-12T00:00:00Z,Bat polyomavirus,4696,complete
NC_040601,2019-02-12T00:00:00Z,Varroa destructor virus 2,9552,complete
NC_040602,2019-02-12T00:00:00Z,Menghai almendravirus,10744,complete
NC_040603,2019-02-12T00:00:00Z,Gruiform aveparvovirus 1,5515,complete
NC_040604,2019-02-12T00:00:00Z,Rodent papillomavirus,7373,complete
NC_040605,2019-02-12T00:00:00Z,Marmot sapelovirus 1,7726,complete
NC_040606,2019-02-12T00:00:00Z,Malacosoma neustria nucleopolyhedrovirus,130202,complete
NC_040607,2019-02-12T00:00:00Z,Rhinolophus simulator polyomavirus 1,5249,complete
NC_040608,2019-02-12T00:00:00Z,Pythium polare RNA virus 1,5397,complete
NC_040609,2019-02-12T00:00:00Z,Rhizoctonia solani endornavirus 1,19936,complete
NC_040610,2019-02-12T00:00:00Z,Nanay virus,10804,complete
NC_040611,2019-02-12T00:00:00Z,Cadicivirus B,8838,complete
NC_040612,2019-02-12T00:00:00Z,Cherax quadricarinatus iridovirus,165695,complete
NC_040613,2019-02-12T00:00:00Z,Nephila clavipes virus 3,8138,complete
NC_040614,2019-02-12T00:00:00Z,Nephila clavipes virus 4,11919,complete
NC_040615,2019-02-12T00:00:00Z,Eptesicus fuscus gammaherpesvirus,166748,complete
NC_040616,2019-02-12T00:00:00Z,Grapevine virus G,7496,complete
NC_040617,2019-02-12T00:00:00Z,Rodent Torque teno virus 3,3433,complete
NC_040618,2019-02-12T00:00:00Z,Rodent Torque teno virus 6,2505,complete
NC_040619,2019-02-12T00:00:00Z,Gammapapillomavirus sp.,7257,complete
NC_040620,2019-02-12T00:00:00Z,Gammapapillomavirus sp.,7350,complete
NC_040621,2019-02-12T00:00:00Z,Operophtera brumata nucleopolyhedrovirus,119054,complete
NC_040622,2019-02-12T00:00:00Z,Cacao swollen shoot Ghana N virus,7173,complete
NC_040623,2019-02-12T00:00:00Z,Rhinolophus pusillus bocaparvovirus 1,4880,complete
NC_040624,2019-02-12T00:00:00Z,Coconut foliar decay alphasatellite 3,1252,complete
NC_040625,2019-02-12T00:00:00Z,Rhynchobatus djiddensis adomavirus 1,21527,complete
NC_040626,2019-02-12T00:00:00Z,Bombus cryptarum densovirus,3977,complete
NC_040627,2019-02-12T00:00:00Z,Lettuce chordovirus 1,8536,complete
NC_040628,2019-02-12T00:00:00Z,Halhan virus 3,8620,complete
NC_040629,2019-02-12T00:00:00Z,Mizyes virus 1,6208,complete
NC_040630,2019-02-12T00:00:00Z,Blackberry virus A,7285,complete
NC_040631,2019-02-12T00:00:00Z,Sclerotinia minor betaendornavirus 1,12626,complete
NC_040632,2019-02-12T00:00:00Z,Gigaspora margarita giardia-like virus 1,4947,complete
NC_040633,2019-02-12T00:00:00Z,Sogatella furcifera totivirus 1,6310,complete
NC_040634,2019-02-12T00:00:00Z,Potamochoerus porcus polyomavirus 1,4825,complete
NC_040635,2019-02-12T00:00:00Z,Birch leaf roll-associated virus,7864,complete
NC_040636,2019-02-12T00:00:00Z,Ying Kou virus,9784,complete
NC_040637,2019-02-12T00:00:00Z,Ecklonia radiata-associated virus 8,2997,complete
NC_040638,2019-02-12T00:00:00Z,Trematomus bernacchii polyomavirus 1,5541,complete
NC_040639,2019-02-12T00:00:00Z,Chicken associated cyclovirus 2,1778,complete
NC_040640,2019-02-12T00:00:00Z,Human papillomavirus type 203,7372,complete
NC_040641,2019-02-12T00:00:00Z,Blechomonas wendygibsoni narnavirus 1,2748,complete
NC_040642,2019-02-12T00:00:00Z,Rhimavirus A,7456,complete
NC_040643,2019-02-12T00:00:00Z,Panax ginseng flexivirus 1,9002,complete
NC_040644,2019-02-12T00:00:00Z,Turtle grass virus X,6278,complete
NC_040645,2019-02-12T00:00:00Z,Culex Flavi-like virus,10609,complete
NC_040646,2019-02-12T00:00:00Z,Culex Iflavi-like virus 1,10310,complete
NC_040647,2019-02-12T00:00:00Z,Culex Bastrovirus-like virus,5415,complete
NC_040648,2019-02-12T00:00:00Z,Bovine serum-associated circular virus,507,complete
NC_040649,2019-02-12T00:00:00Z,Sclerotinia sclerotiorum deltaflexivirus 2,6735,complete
NC_040650,2019-02-12T00:00:00Z,Pleione flower breaking virus,9952,complete
NC_040651,2019-02-12T00:00:00Z,Panicum ecklonii-associated virus,2070,complete
NC_040652,2019-02-12T00:00:00Z,Equine parvovirus H,4743,complete
NC_040653,2019-02-12T00:00:00Z,Fusarium asiaticum victorivirus 1,5281,complete
NC_040654,2019-02-12T00:00:00Z,Yongsan picorna-like virus 4,8393,complete
NC_040655,2019-02-12T00:00:00Z,Macaca mulatta papillomavirus 5,7408,complete
NC_040656,2019-02-12T00:00:00Z,Rhizophagus sp. RF1 mitovirus,2895,complete
NC_040657,2019-02-12T00:00:00Z,Diatom colony associated dsRNA virus 5,5252,complete
NC_040658,2019-02-12T00:00:00Z,Diatom colony associated dsRNA virus 6,4939,complete
NC_040659,2019-02-12T00:00:00Z,Diatom colony associated dsRNA virus 10,5082,complete
NC_040660,2019-02-12T00:00:00Z,Diatom colony associated dsRNA virus 11,5160,complete
NC_040661,2019-02-12T00:00:00Z,Diatom colony associated ssRNA virus 2,4586,complete
NC_040662,2019-02-12T00:00:00Z,Capsicum annuum amalgavirus 1,3478,complete
NC_040663,2019-02-12T00:00:00Z,Festuca pratensis amalgavirus 1,3412,complete
NC_040664,2019-02-12T00:00:00Z,Zahedan zarhavirus,11230,complete
NC_040665,2019-02-12T00:00:00Z,Odonata-associated circular virus-11,1712,complete
NC_040666,2019-02-12T00:00:00Z,Odonata-associated circular virus-17,2029,complete
NC_040667,2019-02-12T00:00:00Z,Odonata-associated circular virus-4,2046,complete
NC_040668,2019-02-12T00:00:00Z,Torque teno equus virus 1,2197,complete
NC_040669,2019-02-12T00:00:00Z,Riverside virus 1,11713,complete
NC_040670,2019-02-12T00:00:00Z,Culex tritaeniorhynchus totivirus,7624,complete
NC_040671,2019-02-12T00:00:00Z,Adeno-associated virus,4857,complete
NC_040672,2019-02-12T00:00:00Z,Gruiform aveparvovirus 1,5456,complete
NC_040673,2019-02-12T00:00:00Z,Pelodiscus sinensis picornavirus 1,8145,complete
NC_040674,2019-02-12T00:00:00Z,Marmot norovirus,6453,complete
NC_040675,2019-02-12T00:00:00Z,Nesidiocoris tenuis iflavirus 1,10663,complete
NC_040676,2019-02-12T00:00:00Z,Rhinolophus simulator polyomavirus 2,5016,complete
NC_040677,2019-02-12T00:00:00Z,Rhinolophus simulator polyomavirus 3,5082,complete
NC_040678,2019-02-12T00:00:00Z,Pythium polare RNA virus 2,5491,complete
NC_040679,2019-02-12T00:00:00Z,Civet circovirus,2077,complete
NC_040680,2019-02-12T00:00:00Z,Apple luteovirus 1,6001,complete
NC_040681,2019-02-12T00:00:00Z,Bufonid herpesvirus 1,158250,complete
NC_040682,2019-02-12T00:00:00Z,Culex theileri flavivirus,10280,complete
NC_040683,2019-02-12T00:00:00Z,Penicillium digitatum narna-like virus 1,1702,complete
NC_040684,2019-02-12T00:00:00Z,Goose picornavirus 1,8051,complete
NC_040685,2019-02-12T00:00:00Z,Opuntia virus 2,6453,complete
NC_040686,2019-02-12T00:00:00Z,Rodent Torque teno virus 3,2689,complete
NC_040687,2019-02-12T00:00:00Z,Rodent Torque teno virus 7,2379,complete
NC_040688,2019-02-12T00:00:00Z,Gammapapillomavirus sp.,7191,complete
NC_040689,2019-02-12T00:00:00Z,Salvia divinorum RNA virus 1,9214,complete
NC_040690,2019-02-12T00:00:00Z,Salvia hispanica RNA virus 1,3406,complete
NC_040691,2019-02-12T00:00:00Z,Gammapapillomavirus sp.,7270,complete
NC_040692,2019-02-12T00:00:00Z,Cacao swollen shoot CE virus,7131,complete
NC_040693,2019-02-12T00:00:00Z,Cacao swollen shoot Ghana R virus,6985,complete
NC_040694,2019-02-12T00:00:00Z,Rhinolophus pusillus bocaparvovirus 2,4726,complete
NC_040695,2019-02-12T00:00:00Z,Rousettus leschenaultii bocaparvovirus 1,5038,complete
NC_040696,2019-02-12T00:00:00Z,Coconut foliar decay alphasatellite 3,619,complete
NC_040697,2019-02-12T00:00:00Z,Coconut foliar decay alphasatellite 6,1264,complete
NC_040698,2019-02-12T00:00:00Z,Symphysodon discus adomavirus 1,19275,complete
NC_040699,2019-02-12T00:00:00Z,Drosophila innubila nudivirus,155555,complete
NC_040700,2019-02-12T00:00:00Z,Cragig virus 1,7967,complete
NC_040701,2019-02-12T00:00:00Z,Rudphi virus 5,8625,complete
NC_040702,2019-02-12T00:00:00Z,Gigaspora margarita mitovirus 1,3243,complete
NC_040703,2019-02-12T00:00:00Z,Chrysanthemum virus R,8890,complete
NC_040704,2019-02-12T00:00:00Z,Sogatella furcifera totivirus 2,6303,complete
NC_040705,2019-02-12T00:00:00Z,Philantomba monticola polyomavirus 1,5034,complete
NC_040706,2019-02-12T00:00:00Z,Passion fruit chlorotic mottle virus,3743,complete
NC_040707,2019-02-12T00:00:00Z,Ecklonia radiata-associated virus 1,2480,complete
NC_040708,2019-02-12T00:00:00Z,Yerba mate-associated circular DNA virus 1,2707,complete
NC_040709,2019-02-12T00:00:00Z,Macaca mulatta papillomavirus 2,7876,complete
NC_040710,2019-02-12T00:00:00Z,Sogatella furcifera hepe-like virus,7312,complete
NC_040711,2019-02-12T00:00:00Z,Aplysia californica nido-like virus,35906,complete
NC_040712,2019-02-12T00:00:00Z,Dioscorea nummularia associated virus,8139,complete
NC_040713,2019-02-12T00:00:00Z,Elderberry aureusvirus 1,1134,complete
NC_040714,2019-02-12T00:00:00Z,Porcine polyomavirus,4978,complete
NC_040715,2019-02-12T00:00:00Z,Akodon montensis polyomavirus,6052,complete
NC_040716,2019-02-12T00:00:00Z,Culex Iflavi-like virus 4,9698,complete
NC_040717,2019-02-12T00:00:00Z,Culex Tetra-like virus,2066,complete
NC_040718,2019-02-12T00:00:00Z,Bovine serum-associated circular virus,501,complete
NC_040719,2019-02-12T00:00:00Z,Domestic cat hepatitis B virus,3187,complete
NC_040720,2019-02-12T00:00:00Z,Ashy storm petrel gyrovirus,2394,complete
NC_040721,2019-02-12T00:00:00Z,Lolium perenne-associated virus,2293,complete
NC_040722,2019-02-12T00:00:00Z,Blackcurrant leafroll-associated virus 1,17141,complete
NC_040723,2019-02-12T00:00:00Z,Culex pipiens associated Tunisia virus,10910,complete
NC_040724,2019-02-12T00:00:00Z,Psammotettix alienus iflavirus 1,10836,complete
NC_040725,2019-02-12T00:00:00Z,Yongsan tombus-like virus 1,4554,complete
NC_040726,2019-02-12T00:00:00Z,Rhizophagus diaphanum mitovirus 2,4382,complete
NC_040727,2019-02-12T00:00:00Z,Macaca mulatta papillomavirus 6,7935,complete
NC_040728,2019-02-12T00:00:00Z,Macaca mulatta papillomavirus 7,7292,complete
NC_040729,2019-02-12T00:00:00Z,Snake deltavirus F18-5,1711,complete
NC_040730,2019-02-12T00:00:00Z,Oz virus,2406,complete
NC_040731,2019-02-12T00:00:00Z,Oz virus,2225,complete
NC_040732,2019-02-12T00:00:00Z,Oz virus,1975,complete
NC_040733,2019-02-12T00:00:00Z,Oz virus,1482,complete
NC_040734,2019-02-12T00:00:00Z,Oz virus,960,complete
NC_040735,2019-02-12T00:00:00Z,Oz virus,1597,complete
NC_040736,2019-02-12T00:00:00Z,Alternaria alternata chrysovirus,2785,complete
NC_040737,2019-02-12T00:00:00Z,Alternaria alternata chrysovirus,836,complete
NC_040738,2019-02-12T00:00:00Z,Alternaria alternata chrysovirus,3647,complete
NC_040739,2019-02-12T00:00:00Z,Alternaria alternata chrysovirus,2857,complete
NC_040740,2019-02-12T00:00:00Z,Alternaria alternata chrysovirus,2772,complete
NC_040741,2019-02-12T00:00:00Z,Alstroemeria yellow spot orthotospovirus,2734,complete
NC_040742,2019-02-12T00:00:00Z,Alstroemeria yellow spot orthotospovirus,8865,complete
NC_040743,2019-02-12T00:00:00Z,Alstroemeria yellow spot orthotospovirus,4797,complete
NC_040744,2019-02-12T00:00:00Z,Cow vetch latent virus,992,complete
NC_040745,2019-02-12T00:00:00Z,Cow vetch latent virus,971,complete
NC_040746,2019-02-12T00:00:00Z,Cow vetch latent virus,985,complete
NC_040747,2019-02-12T00:00:00Z,Cow vetch latent virus,1010,complete
NC_040748,2019-02-12T00:00:00Z,Cow vetch latent virus,986,complete
NC_040749,2019-02-12T00:00:00Z,Cow vetch latent virus,988,complete
NC_040750,2019-02-12T00:00:00Z,Cow vetch latent virus,980,complete
NC_040751,2019-02-12T00:00:00Z,Cow vetch latent virus,984,complete
NC_040752,2019-02-12T00:00:00Z,Picobirnavirus sp.,2576,complete
NC_040753,2019-02-12T00:00:00Z,Picobirnavirus sp.,1721,complete
NC_040754,2019-02-12T00:00:00Z,Athtab bunya-like virus,6868,complete
NC_040755,2019-02-12T00:00:00Z,Athtab bunya-like virus,3537,complete
NC_040756,2019-02-12T00:00:00Z,Aspergillus fumigatus partitivirus 2,1638,complete
NC_040757,2019-02-12T00:00:00Z,Aspergillus fumigatus partitivirus 2,1822,complete
NC_040758,2019-02-12T00:00:00Z,Yongsan bunyavirus 1,1860,complete
NC_040759,2019-02-12T00:00:00Z,Yongsan bunyavirus 1,6464,complete
NC_040760,2019-02-12T00:00:00Z,Wheat stripe mosaic virus,6597,complete
NC_040761,2019-02-12T00:00:00Z,Wheat stripe mosaic virus,4892,complete
NC_040762,2019-02-12T00:00:00Z,Apore mammarenavirus,3400,complete
NC_040763,2019-02-12T00:00:00Z,Apore mammarenavirus,7217,complete
NC_040764,2019-02-12T00:00:00Z,Leptomonas seymouri Narna-like virus 1,2914,complete
NC_040765,2019-02-12T00:00:00Z,Leptomonas seymouri Narna-like virus 1,1455,complete
NC_040766,2019-02-12T00:00:00Z,Osedax japonicus RNA virus 1,13170,complete
NC_040767,2019-02-12T00:00:00Z,Osedax japonicus RNA virus 1,7176,complete
NC_040768,2019-02-12T00:00:00Z,Trichoderma harzianum bipartite mycovirus 1,2088,complete
NC_040769,2019-02-12T00:00:00Z,Trichoderma harzianum bipartite mycovirus 1,1634,complete
NC_040770,2019-02-12T00:00:00Z,Tunis virus,12303,complete
NC_040771,2019-02-12T00:00:00Z,Tunis virus,4806,complete
NC_040772,2019-02-12T00:00:00Z,Tunis virus,1868,complete
NC_040773,2019-02-12T00:00:00Z,Diatom colony associated dsRNA virus 3,4911,complete
NC_040774,2019-02-12T00:00:00Z,Diatom colony associated dsRNA virus 7,5327,complete
NC_040775,2019-02-12T00:00:00Z,Diatom colony associated dsRNA virus 12,5941,complete
NC_040776,2019-02-12T00:00:00Z,Ilheus virus,10794,complete
NC_040777,2019-02-12T00:00:00Z,Cleome droserifolia amalgavirus 1,3443,complete
NC_040778,2019-02-12T00:00:00Z,Festuca pratensis amalgavirus 2,3411,complete
NC_040779,2019-02-12T00:00:00Z,Odonata-associated circular virus-7,2942,complete
NC_040780,2019-02-12T00:00:00Z,Odonata-associated circular virus-13,1991,complete
NC_040781,2019-02-12T00:00:00Z,Odonata-associated circular virus-18,1913,complete
NC_040782,2019-02-12T00:00:00Z,Odonata-associated circular virus-16,2016,complete
NC_040783,2019-02-12T00:00:00Z,Odonata-associated circular virus-10,1914,complete
NC_040784,2019-02-12T00:00:00Z,Fusarium graminearum mycotymovirus 1,7863,complete
NC_040785,2019-02-12T00:00:00Z,Rusa timorensis papillomavirus type 2,7342,complete
NC_040786,2019-02-12T00:00:00Z,Rice stripe mosaic cytorhabdovirus,12774,complete
NC_040787,2019-02-12T00:00:00Z,Molossus molossus papillomavirus 1,7869,complete
NC_040788,2019-02-12T00:00:00Z,Kampung Karu virus,10311,complete
NC_040789,2019-02-12T00:00:00Z,Tomelloso virus,112307,complete
NC_040790,2019-02-12T00:00:00Z,Sugar beet cyst nematode virus 1,9503,complete
NC_040791,2019-02-12T00:00:00Z,Neofusicoccum luteum fusarivirus 1,6244,complete
NC_040792,2019-02-12T00:00:00Z,Rice latent virus 1,2757,complete
NC_040793,2019-02-12T00:00:00Z,Alternaria arborescens victorivirus 1,5206,complete
NC_040795,2019-02-12T00:00:00Z,Shinobi tetravirus,4962,complete
NC_040796,2019-02-12T00:00:00Z,Avian metaavulavirus 20,15954,complete
NC_040797,2019-02-12T00:00:00Z,Ribes americanum virus A,7106,complete
NC_040798,2019-02-12T00:00:00Z,Nephila clavipes virus 1,10198,complete
NC_040799,2019-02-12T00:00:00Z,Helianthus annuus alphaendornavirus,14663,complete
NC_040800,2019-02-12T00:00:00Z,Actinidia seed borne latent virus,8192,complete
NC_040801,2019-02-12T00:00:00Z,Rodent Torque teno virus 4,2561,complete
NC_040802,2019-02-12T00:00:00Z,Lily virus Y,9811,complete
NC_040803,2019-02-12T00:00:00Z,Gammapapillomavirus sp.,7251,complete
NC_040804,2019-02-12T00:00:00Z,Gammapapillomavirus sp.,7255,complete
NC_040805,2019-02-12T00:00:00Z,Gammapapillomavirus sp.,7282,complete
NC_040806,2019-02-12T00:00:00Z,Gammapapillomavirus sp.,7328,complete
NC_040807,2019-02-12T00:00:00Z,Cacao swollen shoot Ghana J virus,7167,complete
NC_040808,2019-02-12T00:00:00Z,Cacao swollen shoot Ghana K virus,7119,complete
NC_040809,2019-02-12T00:00:00Z,Cacao Bacilliform SriLanka Virus,7215,complete
NC_040810,2019-02-12T00:00:00Z,Cattle blood-associated circovirus-like virus,1881,complete
NC_040811,2019-02-12T00:00:00Z,Polar bear mastadenovirus 1,27952,complete
NC_040812,2019-02-12T00:00:00Z,Coconut foliar decay alphasatellite 7,1259,complete
NC_040813,2019-02-12T00:00:00Z,Andrena haemorrhoa nege-like virus,8806,complete
NC_040814,2019-02-12T00:00:00Z,Elicom virus 1,7106,complete
NC_040815,2019-02-12T00:00:00Z,Hepacivirus P,8684,complete
NC_040816,2019-02-12T00:00:00Z,Gigaspora margarita mitovirus 2,3394,complete
NC_040817,2019-02-12T00:00:00Z,Camellia chlorotic dwarf-associated virus,3687,complete
NC_040818,2019-02-12T00:00:00Z,Leptonychotes weddellii papillomavirus 6,7658,complete
NC_040819,2019-02-12T00:00:00Z,Leptosphaeria biglobosa mitovirus 1,2568,complete
NC_040820,2019-02-12T00:00:00Z,Blackbird arilivirus,9228,complete
NC_040821,2019-02-12T00:00:00Z,Glis glis polyomavirus 1,5338,complete
NC_040822,2019-02-12T00:00:00Z,Panthera leo polyomavirus 1,5018,complete
NC_040823,2019-02-12T00:00:00Z,Ecklonia radiata-associated virus 3,1886,complete
NC_040824,2019-02-12T00:00:00Z,Ecklonia radiata-associated virus 5,2046,complete
NC_040825,2019-02-12T00:00:00Z,Cluster bean endornavirus 1,12895,complete
NC_040826,2019-02-12T00:00:00Z,Dragonfly associated cyclovirus,1899,complete
NC_040827,2019-02-12T00:00:00Z,Macaca mulatta papillomavirus 3,8051,complete
NC_040828,2019-02-12T00:00:00Z,Trichoderma asperellum dsRNA virus 1,9838,complete
NC_040829,2019-02-12T00:00:00Z,Blechmonas luni narnavirus 1,2747,complete
NC_040830,2019-02-12T00:00:00Z,Phytophthora infestans RNA virus 2,11170,complete
NC_040831,2019-02-12T00:00:00Z,Porcine serum associated circular DNA virus 2,1900,complete
NC_040832,2019-02-12T00:00:00Z,Culex Iflavi-like virus 4,10319,complete
NC_040833,2019-02-12T00:00:00Z,Mosquito associated circovirus 1,2224,complete
NC_040834,2019-02-12T00:00:00Z,Blackcurrant-associated closterovirus 1,17320,complete
NC_040835,2019-02-12T00:00:00Z,Rana hepevirus,7188,complete
NC_040836,2019-02-12T00:00:00Z,Areca palm necrotic spindle-spot virus,9437,complete
NC_040837,2019-02-12T00:00:00Z,Grapevine associated tymo-like virus,6060,complete
NC_040838,2019-02-12T00:00:00Z,Arctopus echinatus-associated virus,2458,complete
NC_040839,2019-02-12T00:00:00Z,Holcus lanatus-associated virus,2197,complete
NC_040840,2019-02-12T00:00:00Z,Blackcurrant leafroll-associated virus 1,17161,complete
NC_040841,2019-02-12T00:00:00Z,Pinus nigra virus 1,7107,complete
NC_040842,2019-02-12T00:00:00Z,Potexvirus sp.,5839,complete
NC_040843,2019-02-12T00:00:00Z,Rodent chaphamaparvovirus 1,4442,complete
NC_040844,2019-02-12T00:00:00Z,Rhizophagus diaphanum mitovirus 1,3554,complete
NC_040845,2019-02-12T00:00:00Z,Avian HDV-like agent,1706,complete
NC_040846,2019-02-12T00:00:00Z,Ustilaginoidea virens nonsegmented virus 2,2887,complete
NC_040847,2019-02-12T00:00:00Z,Guangxi orbivirus,2000,complete
NC_040180,2018-12-27T00:00:00Z,Allamanda leaf mottle distortion virus,2690,complete
NC_040181,2018-12-27T00:00:00Z,Jacquemontia yellow mosaic virus,2578,complete
NC_040183,2018-12-27T00:00:00Z,Tomato chlorotic mottle Guyane virus,2603,complete
NC_040184,2018-12-27T00:00:00Z,Cnidoscolus mosaic leaf deformation virus,2613,complete
NC_040185,2018-12-27T00:00:00Z,Pavonia mosaic virus,2667,complete
NC_040186,2018-12-27T00:00:00Z,Pepper yellow leaf curl Thailand virus,2732,complete
NC_040187,2018-12-27T00:00:00Z,Lycianthes yellow mosaic virus,2704,complete
NC_040188,2018-12-27T00:00:00Z,Triumfetta yellow mosaic virus,2621,complete
NC_040189,2018-12-27T00:00:00Z,Common bean mottle virus,2604,complete
NC_040190,2018-12-27T00:00:00Z,Common bean severe mosaic virus,2577,complete
NC_040191,2018-12-27T00:00:00Z,Sida bright yellow mosaic virus,2656,complete
NC_040192,2018-12-27T00:00:00Z,Desmodium mottle virus,2713,complete
NC_039897,2018-11-21T00:00:00Z,Norwalk virus,7745,complete
NC_039475,2018-10-12T00:00:00Z,Norwalk virus,7556,complete
NC_039476,2018-10-12T00:00:00Z,Norwalk virus,7536,complete
NC_039477,2018-10-12T00:00:00Z,Norwalk virus,7567,complete
NC_039345,2018-09-07T00:00:00Z,Bombali ebolavirus,19043,complete
NC_039199,2018-08-25T00:00:00Z,Human metapneumovirus,13350,complete
NC_011547,2018-08-24T00:00:00Z,Bulbul coronavirus HKU11,26487,complete
NC_017678,2018-08-24T00:00:00Z,Chili leaf curl Jaunpur betasatellite,1362,complete
NC_038236,2018-08-24T00:00:00Z,Indiana vesiculovirus,11162,complete
NC_038257,2018-08-24T00:00:00Z,Badu phasivirus,6863,complete
NC_038258,2018-08-24T00:00:00Z,Badu phasivirus,3871,complete
NC_038259,2018-08-24T00:00:00Z,Badu phasivirus,1513,complete
NC_038260,2018-08-24T00:00:00Z,Cebine betaherpesvirus 1,3075,complete
NC_038261,2018-08-24T00:00:00Z,Phasi Charoen-like phasivirus,3935,complete
NC_038262,2018-08-24T00:00:00Z,Phasi Charoen-like phasivirus,6806,complete
NC_038263,2018-08-24T00:00:00Z,Phasi Charoen-like phasivirus,1358,complete
NC_038264,2018-08-24T00:00:00Z,Suid gammaherpesvirus 3,73200,complete
NC_038265,2018-08-24T00:00:00Z,Suid gammaherpesvirus 4,59673,complete
NC_038266,2018-08-24T00:00:00Z,Mustelid gammaherpesvirus 1,6165,complete
NC_038267,2018-08-24T00:00:00Z,Ateline gammaherpesvirus 2,2577,complete
NC_038268,2018-08-24T00:00:00Z,Passeriform 2 orthobornavirus,5572,complete
NC_038269,2018-08-24T00:00:00Z,Pteromalus puparum peropuvirus,12230,complete
NC_038270,2018-08-24T00:00:00Z,Human respirovirus 3,15462,complete
NC_038271,2018-08-24T00:00:00Z,Bat mumps orthorubulavirus,15378,complete
NC_038272,2018-08-24T00:00:00Z,Bovine orthopneumovirus,15140,complete
NC_038273,2018-08-24T00:00:00Z,Asama orthohantavirus,1710,complete
NC_038274,2018-08-24T00:00:00Z,Asama orthohantavirus,3604,complete
NC_038275,2018-08-24T00:00:00Z,Mossuril hapavirus,13106,complete
NC_038276,2018-08-24T00:00:00Z,Nishimuro ledantevirus,10881,complete
NC_038277,2018-08-24T00:00:00Z,Sea trout perhabdovirus,6552,complete
NC_038278,2018-08-24T00:00:00Z,Drosophila affinis sigmavirus,14409,complete
NC_038279,2018-08-24T00:00:00Z,Drosophila ananassae sigmavirus,12790,complete
NC_038280,2018-08-24T00:00:00Z,Drosophila immigrans sigmavirus,12486,complete
NC_038281,2018-08-24T00:00:00Z,Drosophila melanogaster sigmavirus,12625,complete
NC_038282,2018-08-24T00:00:00Z,Ekpoma 1 tibrovirus,12659,complete
NC_038283,2018-08-24T00:00:00Z,Ekpoma 2 tibrovirus,12674,complete
NC_038284,2018-08-24T00:00:00Z,Durham tupavirus,11092,complete
NC_038285,2018-08-24T00:00:00Z,Carajas vesiculovirus,11135,complete
NC_038286,2018-08-24T00:00:00Z,Piry vesiculovirus,11271,complete
NC_038287,2018-08-24T00:00:00Z,Radi vesiculovirus,11068,complete
NC_038288,2018-08-24T00:00:00Z,Watermelon bud necrosis tospovirus,3401,complete
NC_038289,2018-08-24T00:00:00Z,Watermelon bud necrosis tospovirus,8916,complete
NC_038290,2018-08-24T00:00:00Z,Watermelon bud necrosis tospovirus,4794,complete
NC_038291,2018-08-24T00:00:00Z,Betaarterivirus suid 2,15411,complete
NC_038292,2018-08-24T00:00:00Z,Iotaarterivirus kibreg 1,15264,complete
NC_038293,2018-08-24T00:00:00Z,Epsilonarterivirus hemcep,15370,complete
NC_038294,2018-08-24T00:00:00Z,Middle East respiratory syndrome-related coronavirus,30111,complete
NC_038295,2018-08-24T00:00:00Z,Fathead minnow nidovirus 1,27318,complete
NC_038296,2018-08-24T00:00:00Z,Alphamesonivirus 2,20795,complete
NC_038297,2018-08-24T00:00:00Z,Alphamesonivirus 3,20307,complete
NC_038298,2018-08-24T00:00:00Z,Bayou orthohantavirus,1958,complete
NC_038299,2018-08-24T00:00:00Z,Bayou orthohantavirus,6554,complete
NC_038300,2018-08-24T00:00:00Z,Bayou orthohantavirus,3677,complete
NC_038301,2018-08-24T00:00:00Z,Lygus lineolaris virus 1,9655,complete
NC_038302,2018-08-24T00:00:00Z,Nilaparvata lugens honeydew virus 1,10967,complete
NC_038303,2018-08-24T00:00:00Z,Bovine rhinitis A virus,7245,complete
NC_038304,2018-08-24T00:00:00Z,Avisivirus A,7373,complete
NC_038305,2018-08-24T00:00:00Z,Cardiovirus C,8530,complete
NC_038306,2018-08-24T00:00:00Z,Enterovirus A,7398,complete
